job_role,skills
Data Scientist,"Python, SQL, Machine Learning, Statistics, Data Analysis, Pandas, NumPy"
DevOps Engineer,"AWS, Docker, Kubernetes, CI/CD, Linux, Automation, Git"
Backend Developer,"Java, Python, SQL, APIs, Spring Boot, Databases, Git"
Frontend Developer,"JavaScript, React, HTML, CSS, UI Design, Web Design, TypeScript"
Cloud Architect,"AWS, Azure, Cloud Computing, Automation, Networking, Docker, Security"
Machine Learning Engineer,"Python, Machine Learning, TensorFlow, Deep Learning, Data Structures, Algorithms, Cloud Computing"
Full Stack Developer,"JavaScript, React, Node.js, SQL, APIs, HTML, CSS, Git"
Data Analyst,"SQL, Excel, Data Analysis, Python, Statistics, Visualization, Pandas"
Cybersecurity Analyst,"Networking, Security, Linux, Python, Risk Assessment, Firewalls, Automation"
Mobile App Developer,"Java, Kotlin, Swift, Mobile Development, APIs, UI Design, Git"
Database Administrator,"SQL, Databases, Data Structures, Linux, Backup Recovery, Security, Automation"
QA / Test Engineer,"Python, Automation, Test Cases, Selenium, CI/CD, Git, Debugging"
Systems Administrator,"Linux, Networking, Automation, Cloud Computing, Security, Bash, Docker"
AI Research Engineer,"Python, Machine Learning, Deep Learning, Algorithms, Statistics, Research, TensorFlow"
Product Manager,"Communication, Data Analysis, Project Management, Agile, Research, Stakeholder Management"